product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,savings,processed_at,brand,product_type,length,color,features,category_L1,category_L2,category_L3,category_L4,category_L5,product_name_clean
B07QZ3CZ48,"boAt BassHeads 122 Wired Earphones with Heavy Bass, Integrated Controls and Mic (Gun Metal)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",399,1290,69,4.2,206,891,13-04-2026 18:32,boAt,Audio,Not Available,Red,None,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,Unknown,boAt BassHeads 122 Wired Earphones with Heavy Bass Integrated Controls and Mic Gun Metal
B08H9Z3XQW,boAt Bassheads 242 in Ear Wired Earphones with Mic(Blue),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",455,1490,69,4.1,161677,1035,13-04-2026 18:32,boAt,Audio,Not Available,Red,None,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,Unknown,boAt Bassheads 242 in Ear Wired Earphones with MicBlue
B085HY1DGR,Sounce Spiral Charger Cable Protector Data Cable Saver Charging Cord Protective Cable Cover Headphone MacBook Laptop Earphone Cell Phone Set of 3 (Cable Protector (12 Units)),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,99,999,90,4,1396,900,13-04-2026 18:32,Sounce,Cable,Not Available,Not Specified,None,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,CableConnectionProtectors,Unknown,Sounce Spiral Charger Cable Protector Data Cable Saver Charging Cord Protective Cable Cover Headphone MacBook Laptop Earphone Cell Phone Set of 3 Cable Protector 12 Units
B0765B3TH7,"Gizga Essentials Hard Drive Case Shell, 6.35cm/2.5-inch, Portable Storage Organizer Bag for Earphone USB Cable Power Bank Mobile Charger Digital Gadget Hard Disk, Water Resistance Material, Black",Computers&Accessories|Accessories&Peripherals|HardDiskBags,199,599,67,4.5,13568,400,13-04-2026 18:32,Gizga,Cable,Not Available,Black,None,Computers&Accessories,Accessories&Peripherals,HardDiskBags,Unknown,Unknown,Gizga Essentials Hard Drive Case Shell 635cm25inch Portable Storage Organizer Bag for Earphone USB Cable Power Bank Mobile Charger Digital Gadget Hard Disk Water Resistance Material Black
B07CD2BN46,Xiaomi Mi Wired in Ear Earphones with Mic Basic with Ultra Deep Bass & Aluminum Alloy Sound Chamber (Black),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",429,599,28,4.1,119466,170,13-04-2026 18:32,Xiaomi,Audio,Not Available,Black,None,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,Unknown,Xiaomi Mi Wired in Ear Earphones with Mic Basic with Ultra Deep Bass  Aluminum Alloy Sound Chamber Black
B08MTCKDYN,"Gizga Essentials Spiral Cable Protector Cord Saver for Mac Charger, iPhone Charger, Wire Protector, Lightweight Durable Flexible Wire Winder for Charging Cables, Data Cables, Earphones, Pack of 10",Electronics|Mobiles&Accessories|MobileAccessories|Décor,119,299,60,4.1,5999,180,13-04-2026 18:32,Gizga,Cable,Not Available,Not Specified,None,Electronics,Mobiles&Accessories,MobileAccessories,Décor,Unknown,Gizga Essentials Spiral Cable Protector Cord Saver for Mac Charger iPhone Charger Wire Protector Lightweight Durable Flexible Wire Winder for Charging Cables Data Cables Earphones Pack of 10
B097C564GC,"rts [2 Pack] Mini USB C Type C Adapter Plug, Type C Female to USB A Male Charger Charging Cable Adapter Converter compatible for iPhone, Samsung S20 ultra/S21/S10/S8/S9/MacBook Pro iPad Silver",Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,294,4999,94,4.3,4426,4705,13-04-2026 18:32,rts,Cable,Not Available,Silver,None,Computers&Accessories,Accessories&Peripherals,Adapters,USBtoUSBAdapters,Unknown,rts 2 Pack Mini USB C Type C Adapter Plug Type C Female to USB A Male Charger Charging Cable Adapter Converter compatible for iPhone Samsung S20 ultraS21S10S8S9MacBook Pro iPad Silver
B00Y4ORQ46,Logitech H111 Wired On Ear Headphones With Mic Black,"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",745,795,6,4,13797,50,13-04-2026 18:32,Logitech,Audio,Not Available,Black,None,Electronics,"Headphones,Earbuds&Accessories",Headphones,On-Ear,Unknown,Logitech H111 Wired On Ear Headphones With Mic Black
B07DFYJRQV,"JBL C200SI, Premium in Ear Wired Earphones with Mic, Signature Sound, One Button Multi-Function Remote, Angled Earbuds for Comfort fit (Blue)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",799,1499,47,4.1,53648,700,13-04-2026 18:32,JBL,Remote,Not Available,Red,None,Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,Unknown,JBL C200SI Premium in Ear Wired Earphones with Mic Signature Sound One Button MultiFunction Remote Angled Earbuds for Comfort fit Blue
B00NNQMYNE,"AirCase Rugged Hard Drive Case for 2.5-inch Western Digital, Seagate, Toshiba, Portable Storage Shell for Gadget Hard Disk USB Cable Power Bank Mobile Charger Earphone, Waterproof (Black)",Computers&Accessories|Accessories&Peripherals|HardDiskBags,299,499,40,4.5,21010,200,13-04-2026 18:32,AirCase,Cable,Not Available,Black,None,Computers&Accessories,Accessories&Peripherals,HardDiskBags,Unknown,Unknown,AirCase Rugged Hard Drive Case for 25inch Western Digital Seagate Toshiba Portable Storage Shell for Gadget Hard Disk USB Cable Power Bank Mobile Charger Earphone Waterproof Black
